item,item_label,shared_class,shared_label
Q10860471,green beer,Q44,beer
Q137737519,B A Gopinadh Babu,Q5,human
Q138668156,,Q5,human
Q12047375,rubber fiber,Q161,fiber
Q12651945,chemical fiber,Q161,fiber
Q2957536,crocodile skin,Q286,leather
Q113182660,Slavic history,Q309,history
Q137556672,,Q152,fish
Q1344463,digestif,Q154,alcoholic beverage
Q2905047,sorghum beer,Q154,alcoholic beverage
Q17118943,Pruno,Q154,alcoholic beverage
Q17624718,Carrulim,Q154,alcoholic beverage
Q28209858,Insamju,Q154,alcoholic beverage
Q118220895,Cachaça de jambu,Q154,alcoholic beverage
Q136758154,pear brandy,Q154,alcoholic beverage
Q527,sky,Q107,space
Q3721167,Elba DOC,Q282,wine
Q31842348,,Q282,wine
Q131625744,,Q282,wine
Q137274388,,Q282,wine
Q136530578,theoretical sciences,Q336,science
Q4443729,sport crossbow shooting,Q349,sport
Q6665845,locksport,Q349,sport
Q22662532,international sport,Q349,sport
Q125022196,Sports at the 2023 African Games,Q349,sport
Q5739200,"Heritage structures in Hyderabad, India",Q358,heritage site
Q5739200,"Heritage structures in Hyderabad, India",Q210272,cultural heritage
Q5739200,"Heritage structures in Hyderabad, India",Q811165,architectural heritage monument
Q28016054,Charity Stone,Q358,heritage site
Q85192701,Heritage monument in Thuringia,Q358,heritage site
Q86811900,heritage site in Israel,Q358,heritage site
Q121872016,heritage site in Italy,Q358,heritage site
Q777721,Smirnoff,Q374,vodka
Q1539525,Stolichnaya,Q374,vodka
Q3688828,,Q395,mathematics
Q1471822,Old Persian cuneiform,Q401,cuneiform
Q16474600,Urartian cuneiform,Q401,cuneiform
Q1980108,octave day,Q573,day
Q2526300,situational sexual behavior,Q608,human sexual behavior
Q137806372,penetrative sex,Q608,human sexual behavior
Q137806440,marital sex,Q608,human sexual behavior
Q137807894,vulval sex,Q608,human sexual behavior
Q6984278,Neanderthal anatomy,Q514,anatomy
Q1153471,night sky,Q527,sky
Q12975157,,Q532,village
Q5421766,expurgation,Q543,censorship
Q1899406,Diyu,Q564,hell
Q15811406,palatine tooth,Q553,tooth
